gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,delta_nrmse,d_ref,reference_frozen_nrmse,drift_increase_test,n_reference,n_test
CO,10,pls,50,0.1756550953007581,0.0993448153536522,0.0763102799471059,1.269976278088248,0.1580037857200035,1.5235654806691843,50,146
CO,10,random_forest,0,0.1300943282644379,0.1300943282644379,0.0,,,0.6333063933715332,0,146
CO,10,random_forest,2,0.1300943282644379,0.0955535458038026,0.0345407824606353,0.6835465166325924,0.1340959994230736,0.6333063933715332,2,146
CO,10,random_forest,5,0.1300943282644379,0.0914098567895625,0.0386844714748754,0.8399009411575649,0.146549770443807,0.6333063933715332,5,146
CO,10,random_forest,10,0.1300943282644379,0.0962897024954314,0.0338046257690065,1.5387168684452843,0.2022110897222568,0.6333063933715328,10,146
CO,10,random_forest,20,0.1300943282644379,0.0944892707034194,0.03560505756101849,0.8612013410181042,0.1482463665159626,0.6333063933715332,20,146
CO,10,random_forest,50,0.1300943282644379,0.0962311096769682,0.0338632185874697,0.1846759379091093,0.094360507605183,0.6333063933715332,50,146
CO,10,xgboost,0,0.1293286642113204,0.1293286642113204,0.0,,,0.7015709516335212,0,146
CO,10,xgboost,2,0.1293286642113204,0.097638432172457,0.03169023203886338,0.771379477460762,0.1346344925619579,0.7015709516335212,2,146
CO,10,xgboost,5,0.1293286642113204,0.0951144094256442,0.03421425478567619,0.8410574112657253,0.1399303952073044,0.7015709516335212,5,146
CO,10,xgboost,10,0.1293286642113204,0.100974842461989,0.02835382174933139,1.5216446428862558,0.1916587333411121,0.7015709516335212,10,146
CO,10,xgboost,20,0.1293286642113204,0.0974807673370987,0.03184789687422168,0.915052017697174,0.1455543884938816,0.7015709516335212,20,146
CO,10,xgboost,50,0.1293286642113204,0.0980932141977731,0.031235450013547286,0.1979013782017546,0.0910470321269914,0.7015709516335212,50,146
CO,11,pls,0,0.1442547854127872,0.1442547854127872,0.0,,,1.0724499694457716,0,189
CO,11,pls,2,0.1442547854127872,0.1401758249765836,0.004078960436203594,2.768239524596847,0.2622917764089962,1.0724499694457716,2,189
CO,11,pls,5,0.1442547854127872,0.1187310301937355,0.02552375521905169,1.9575968864565332,0.2058662503237227,1.0724499694457716,5,189
CO,11,pls,10,0.1442547854127872,0.1092862428088224,0.034968542603964786,1.613771598926103,0.1819339750922699,1.0724499694457716,10,189
CO,11,pls,20,0.1442547854127872,0.103641374773612,0.04061341063917519,1.2654007022805809,0.1576852985593936,1.0724499694457716,20,189
CO,11,pls,50,0.1442547854127872,0.103023629801167,0.04123115561162019,1.3230042304105416,0.1616948450922004,1.0724499694457716,50,189
CO,11,random_forest,0,0.099977689158321,0.099977689158321,0.0,,,0.2551984477361338,0,189
CO,11,random_forest,2,0.099977689158321,0.114318393795712,-0.014340704637390997,0.7879084383561761,0.1424085206732902,0.2551984477361338,2,189
CO,11,random_forest,5,0.099977689158321,0.1169791066212969,-0.0170014174629759,0.5709437540557099,0.1251270877616672,0.2551984477361338,5,189
CO,11,random_forest,10,0.099977689158321,0.1078070218156397,-0.007829332657318694,0.3354680147275945,0.1063712326111666,0.2551984477361338,10,189
CO,11,random_forest,20,0.099977689158321,0.0976086208651943,0.0023690682931267054,0.3754402234074989,0.1095550551067877,0.2551984477361338,20,189
CO,11,random_forest,50,0.099977689158321,0.0973198973728719,0.0026577917854491012,0.3023535929653395,0.1037336390325771,0.2551984477361335,50,189
CO,11,xgboost,0,0.1093478810070328,0.1093478810070328,0.0,,,0.4386847577751396,0,189
CO,11,xgboost,2,0.1093478810070328,0.1383453481259518,-0.028997467118919013,1.837113547841412,0.2156360891127835,0.4386847577751396,2,189
CO,11,xgboost,5,0.1093478810070328,0.1401680456870911,-0.0308201646800583,1.281518295646563,0.173407822498611,0.4386847577751396,5,189
CO,11,xgboost,10,0.1093478810070328,0.1108258023663227,-0.0014779213592898965,0.7235022153123589,0.1309955597547165,0.4386847577751396,10,189
CO,11,xgboost,20,0.1093478810070328,0.1031249438034262,0.006222937203606602,0.6293776893324712,0.1238415828942063,0.4386847577751396,20,189
CO,11,xgboost,50,0.1093478810070328,0.1028487007782828,0.006499180228749998,0.5035875130535257,0.1142808440643357,0.4386847577751396,50,189
CO,12,pls,0,0.1644128654450597,0.1644128654450597,0.0,,,1.3620529259606928,0,189
CO,12,pls,2,0.1644128654450597,0.0996430190953599,0.0647698463496998,2.4649676102263776,0.2411822559987463,1.3620529259606928,2,189
CO,12,pls,5,0.1644128654450597,0.0978342103527133,0.06657865509234641,1.781160961120093,0.1935852655357902,1.3620529259606928,5,189
CO,12,pls,10,0.1644128654450597,0.0962785325261334,0.0681343329189263,1.5842639370768554,0.1798800671616314,1.3620529259606928,10,189
CO,12,pls,20,0.1644128654450597,0.0876585792853698,0.0767542861596899,1.833428788264333,0.1972234156961539,1.3620529259606928,20,189
CO,12,pls,50,0.1644128654450597,0.0841123508082348,0.0803005146368249,1.7232461561067007,0.1895540522893423,1.3620529259606928,50,189
CO,12,random_forest,0,0.0943580757821742,0.0943580757821741,9.71445146547012e-17,,,0.1846454068927235,0,189
CO,12,random_forest,2,0.0943580757821741,0.0794957092802814,0.014862366501892696,0.7127755473989141,0.1364241181023349,0.1846454068927239,2,189
