gas_id,target_batch,model,budget,n_reference,n_test,residual_df,panel_targets,panel_predictions,extreme_true_gap,extreme_pred_gap,extreme_gap_ratio,panel_rank_agreement,panel_pearson_r,panel_residual_rmse,calibrator_slope,calibrator_intercept,frozen_nrmse,light_nrmse,ratio,window_set
NO2,7,random_forest,5,5,123,3,"45, 57, 71, 146, 173","42.815, 60.095, 69.125, 125.475, 152.505",128.0,109.69,0.856953125,1.0,0.9974687104122094,3.6462172511589337,1.2246489720434843,-11.822081430829712,0.1318241008732545,0.11672290498166549,0.8854443474937226,fit
NO2,7,xgboost,5,5,123,3,"45, 57, 71, 146, 173","46.212, 62.389, 72.495, 120.292, 140.637",128.0,94.42525482177734,0.7376973032951355,1.0,0.996534469112159,4.2653524769466165,1.4221842215575604,-27.32830612989798,0.1333209424912854,0.11870006087065024,0.8903331963649233,fit
NO2,8,pls,5,5,144,3,"44, 56, 62, 130, 157","77.353, 65.590, 113.201, 165.192, 152.425",113.0,75.07175864891886,0.6643518464506094,0.8,0.897813613695786,19.83627141458892,1.0251272089432826,-27.835859000975702,0.24073910782434163,0.1240192704204217,0.515160463712086,fit
NO2,8,random_forest,5,5,144,3,"44, 56, 62, 130, 157","60.900, 54.960, 113.650, 134.775, 140.205",113.0,79.305,0.7018141592920355,0.9,0.8618090795452417,22.847783210288437,1.0712744207352427,-18.28944650334452,0.19541978375830119,0.1514304380185381,0.7748981966218429,fit
NO2,8,xgboost,5,5,144,3,"44, 56, 62, 130, 157","67.542, 55.303, 111.824, 147.078, 133.905",113.0,66.36365509033203,0.5872889831002834,0.8,0.841748202559013,24.317907136922237,1.0509371874860196,-18.583494835369976,0.19243230966216818,0.13704702919121953,0.7121830498829309,fit
NO2,9,pls,5,5,176,3,"59, 75, 90, 173, 187","52.770, 94.863, 125.287, 172.822, 136.504",128.0,83.73481038701024,0.6541782061485175,0.9,0.8369853723987796,28.845364207531208,1.090822753162973,-10.225501208641646,0.1326317536492991,0.1337705445550895,1.0085861105991372,fit
NO2,9,random_forest,5,5,176,3,"59, 75, 90, 173, 187","53.505, 51.905, 101.035, 136.800, 122.680",128.0,69.17500000000001,0.5404296875000001,0.8,0.9039875094725344,22.5375033771698,1.362862104982546,-10.198305252798562,0.17182661672497962,0.14343129347617523,0.8347443266356511,fit
NO2,9,xgboost,5,5,176,3,"59, 75, 90, 173, 187","55.241, 60.790, 95.660, 150.862, 118.828",128.0,63.58707809448242,0.4967740476131439,0.9,0.9015918498329483,22.80258469294343,1.3250720648830316,-10.77301750790339,0.172052570540527,0.13371115018041074,0.7771528769395227,fit
NO2,10,pls,5,5,138,3,"67, 74, 90, 167, 193","86.938, 86.919, 104.169, 160.043, 167.787",126.0,80.84882415023611,0.6416573345256834,0.9,0.9942182019751994,5.547807333768626,1.4450164264334142,-56.89406658838256,0.0937224626065149,0.11756898973251892,1.2544376925531873,held
NO2,10,random_forest,5,5,138,3,"67, 74, 90, 167, 193","75.140, 52.915, 85.370, 111.610, 124.330",126.0,49.19,0.39039682539682535,0.9,0.93237229231864,18.677180175753566,1.8856820256196987,-51.27190068851918,0.18566883120529887,0.14691070333222378,0.7912512960766193,held
NO2,10,xgboost,5,5,138,3,"67, 74, 90, 167, 193","68.711, 60.025, 86.901, 107.681, 121.124",126.0,52.41278839111328,0.4159745110405816,0.9,0.959744462894872,14.51162710052284,2.1593989155301125,-73.74567000724257,0.1992833634394797,0.15981835439842462,0.8019653604800775,held
NO2,11,pls,5,5,182,3,"50, 90, 109, 175, 183","78.627, 95.802, 106.017, 165.843, 188.941",133.0,110.31450342580618,0.8294323565850089,1.0,0.9773842443430293,10.74356594563843,1.1639904163941581,-26.480438388670848,0.12472404831591001,0.13073184055668433,1.0481686757437294,held
NO2,11,random_forest,5,5,182,3,"50, 90, 109, 175, 183","33.360, 66.935, 82.020, 125.585, 137.160",133.0,103.8,0.7804511278195488,1.0,0.9980180782047493,3.1969830308538665,1.3279435488247175,3.197088832014245,0.257063968293055,0.14144958987782605,0.550250549764222,held
NO2,11,xgboost,5,5,182,3,"50, 90, 109, 175, 183","40.634, 69.290, 85.247, 118.552, 123.758",133.0,83.12361526489258,0.6249895884578389,1.0,0.9953713670659524,4.882425285496242,1.630080450382137,-21.225770155239985,0.2591877447290878,0.13069403859169104,0.5042446691617194,held
NO2,12,pls,5,5,144,3,"60, 100, 108, 182, 191","84.341, 87.883, 130.015, 147.961, 142.454",131.0,58.11241834655799,0.44360624692029,0.9,0.8853571712555943,23.424157615158357,1.644595670243515,-66.73557241887849,0.17836283798582733,0.13881176385032998,0.7782549628491554,held
NO2,12,random_forest,5,5,144,3,"60, 100, 108, 182, 191","58.425, 64.240, 79.955, 100.095, 98.775",131.0,40.35000000000001,0.3080152671755726,0.9,0.9670769578374251,12.821958619789797,2.841983703791077,-100.0056074470159,0.3532057076496466,0.20559979034914413,0.5820964551147163,held
NO2,12,xgboost,5,5,144,3,"60, 100, 108, 182, 191","61.792, 68.632, 84.180, 95.541, 88.800",131.0,27.008438110351562,0.20617128328512643,0.9,0.9013191637963703,21.824165157249528,3.5969397542351196,-158.79570442414888,0.3475386021906975,0.22643494202816275,0.6515389674724994,held
NO2,13,pls,5,5,194,3,"61, 86, 94, 168, 181","72.381, 95.467, 101.694, 126.202, 172.450",120.0,100.06929212478846,0.8339107677065705,1.0,0.9329080895116832,17.133280454453526,1.3041304370572557,-30.19998884893357,0.14411850894787623,0.12896043237915358,0.8948221385345798,held
NO2,13,random_forest,5,5,194,3,"61, 86, 94, 168, 181","50.055, 78.900, 72.865, 102.250, 136.970",120.0,86.91499999999999,0.7242916666666666,0.9,0.9424636931983628,15.905498624682266,1.5197588430843254,-16.054888030782166,0.2511566141493447,0.14507686497907815,0.5776350563987593,held
NO2,13,xgboost,5,5,194,3,"61, 86, 94, 168, 181","46.422, 81.247, 77.875, 90.489, 126.883",120.0,80.4609146118164,0.6705076217651367,0.9,0.8792474156872387,22.664181557509455,1.619374292242774,-18.97190423167885,0.2589187062140269,0.14621096952502902,0.5646983629068824,held
NOx,4,pls,5,5,197,3,"30, 40, 66, 236, 261","29.239, 41.348, 58.894, 190.942, 178.204",231.0,148.96472489209458,0.6448689389268164,0.9,0.9904059815189712,13.892586248558944,1.4217558593302362,-15.18504480593279,0.09572993185083682,0.13504069969281612,1.4106423882473043,fit
NOx,4,random_forest,5,5,197,3,"30, 40, 66, 236, 261","29.315, 57.155, 89.215, 214.970, 185.225",231.0,155.91,0.6749350649350649,0.9,0.9665951345307817,25.76762170398129,1.3404282632757862,-27.785165651051955,0.09026208502095098,0.1296327022579627,1.4361811188814582,fit
NOx,4,xgboost,5,5,197,3,"30, 40, 66, 236, 261","25.719, 53.807, 87.584, 214.167, 189.421",231.0,163.70205688476562,0.7086669129210633,0.9,0.971476326884684,23.84023328809226,1.3089539179106642,-22.803695801014896,0.090485713534672,0.12860646785026886,1.4212903101105556,fit
NOx,5,pls,5,5,198,3,"14, 47, 61, 206, 275","22.734, 67.050, 48.160, 141.465, 163.552",261.0,140.8185039012829,0.5395344977060648,0.9,0.980433239400593,19.971532867887444,1.8251624557353878,-41.09498660249861,0.09978043434142304,0.19546746951147162,1.9589759335245234,fit
NOx,5,random_forest,5,5,198,3,"14, 47, 61, 206, 275","27.535, 77.685, 44.590, 154.770, 199.475",261.0,171.94,0.6587739463601533,0.9,0.978425472961554,20.960532887889983,1.5064101550059903,-31.262714136308915,0.09191135272708528,0.16998936434808506,1.8494925741419432,fit
NOx,5,xgboost,5,5,198,3,"14, 47, 61, 206, 275","23.474, 83.133, 50.298, 144.030, 210.287",261.0,186.81235694885254,0.7157561568921553,0.9,0.9701274716132787,24.612457824127272,1.461141483938364,-28.793656442552134,0.09633151065731933,0.16777587530463353,1.741651035676827,fit
NOx,6,pls,5,5,107,3,"23, 32, 40, 153, 417","41.012, 68.693, 33.763, 116.985, 281.426",394.0,240.4140771748513,0.6101880131341403,0.8,0.990242205182404,20.85760547476774,1.622904520730872,-42.88330230651681,0.10165090678516923,0.1090538491708332,1.0728271160562244,fit
NOx,6,random_forest,5,5,107,3,"23, 32, 40, 153, 417","39.555, 63.930, 35.835, 123.345, 335.040",394.0,295.485,0.7499619289340101,0.8,0.9941387326916102,16.181139065348283,1.3260661607555235,-25.519274922876008,0.09766327365673265,0.10043046451899973,1.0283339965849723,fit
NOx,6,xgboost,5,5,107,3,"23, 32, 40, 153, 417","33.550, 67.963, 39.215, 119.368, 314.035",394.0,280.4847221374512,0.7118901577092669,0.9,0.9928088315427924,17.917119595153654,1.4268929257302803,-30.844527144342294,0.0989270602247858,0.11093688694317119,1.121400824921879,fit
