gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,mae_f,mae_l,slope,d_ref,seed,ratio,mae_ratio
CO,7,random_forest,50,0.0593806397269783,0.0688717051479641,0.2749316546762592,0.3277942801439824,0.8843321949899301,-0.1650200342721469,20260826,1.159834341034789,1.192275514909226
CO,7,xgboost,50,0.0697857724722782,0.0731597186926522,0.3088968183496872,0.3514747924041402,0.9080294298373404,-0.020569178085145,20260826,1.0483471931433341,1.1378388235978933
CO,8,pls,0,0.0588818442499116,0.0588818442499116,0.3249527951025888,0.3249527951025888,1.0694354913299875,,20260826,1.0,1.0
CO,8,random_forest,0,0.048617904578622,0.048617904578622,0.2778900709219859,0.2778900709219858,1.0003238236420362,,20260826,1.0,0.9999999999999996
CO,8,xgboost,0,0.0533142158383381,0.0533142158383381,0.2981028501446366,0.2981028501446366,1.033415894528114,,20260826,1.0,1.0
CO,8,pls,2,0.0588818442499116,0.066529840959504,0.3249527951025888,0.4015340383663942,0.9122157073785208,0.7203652205465273,20260826,1.1298871801150128,1.2356688245738228
CO,8,random_forest,2,0.048617904578622,0.0585148171592919,0.2778900709219859,0.3473800272083787,0.8811582633811885,-0.1956675513626724,20260826,1.2035651817256994,1.2500627534328177
CO,8,xgboost,2,0.0533142158383381,0.0625219353005695,0.2981028501446366,0.3728398822026808,0.8656613914848857,0.2028412482632474,20260826,1.172706647138007,1.2507088812528377
CO,8,pls,3,0.0588818442499116,0.0658165274039573,0.3249527951025888,0.396845189555879,0.9101446311493891,0.4370830396868597,20260826,1.1177728592299672,1.221239501665445
CO,8,random_forest,3,0.048617904578622,0.058710107604296,0.2778900709219859,0.3475943482277486,0.8824471108734754,-0.3350107055801777,20260826,1.2075820238067538,1.2508339973231042
CO,8,xgboost,3,0.0533142158383381,0.0632216379083062,0.2981028501446366,0.3702085319479091,0.8764767838487425,-0.016894195728698,20260826,1.185830775416633,1.2418818933407967
CO,8,pls,4,0.0588818442499116,0.0590447734839341,0.3249527951025888,0.3554342851771137,0.9291537193611494,0.3407739339925997,20260826,1.0027670538533233,1.0938028246992053
CO,8,random_forest,4,0.048617904578622,0.0538215638728995,0.2778900709219859,0.3187795826486636,0.8998426183014067,-0.4240423911438102,20260826,1.1070317476530163,1.1471427589730503
CO,8,xgboost,4,0.0533142158383381,0.0589937811026568,0.2981028501446366,0.3464077864859395,0.8930160931749513,-0.1274404046681274,20260826,1.1065300347198306,1.1620411757816667
CO,8,pls,5,0.0588818442499116,0.0571985564802721,0.3249527951025888,0.3424194975671683,0.9200073624668148,0.2002148891466126,20260826,0.971412448249835,1.0537515070737127
CO,8,random_forest,5,0.048617904578622,0.053815899331982,0.2778900709219858,0.3188574696470885,0.899661392167476,-0.4732819799792258,20260826,1.1069152362367676,1.1474230388627442
CO,8,xgboost,5,0.0533142158383381,0.059158697360059,0.2981028501446366,0.3454777041967296,0.8995200782141658,-0.217461346603925,20260826,1.1096233233448058,1.1589211710961742
CO,8,pls,6,0.0588818442499116,0.0556053583340914,0.3249527951025888,0.3324493980392027,0.9242989907478356,0.140755108208507,20260826,0.9443549033227654,1.0230698213697385
CO,8,random_forest,6,0.048617904578622,0.0524968651943012,0.2778900709219858,0.3101841006223789,0.9047281478844652,-0.5145189249026747,20260826,1.0797846112311642,1.1162115277931584
CO,8,xgboost,6,0.0533142158383381,0.0587363872477208,0.2981028501446366,0.3431154545935554,0.9007898045600587,-0.2634838337831677,20260826,1.1017021693768145,1.1509968939481092
CO,8,pls,8,0.0588818442499116,0.0530319035806453,0.3249527951025888,0.3166150398814452,0.9257182209107062,-0.0074041023440914,20260826,0.9006494999640728,0.9743416417805812
CO,8,random_forest,8,0.048617904578622,0.0516811886913845,0.2778900709219858,0.3050815127556663,0.9085187800082928,-0.4498889923997031,20260826,1.0630073249621184,1.0978496343660806
CO,8,xgboost,8,0.0533142158383381,0.0569581250290536,0.2981028501446366,0.3382303915444017,0.903121108947706,-0.2867305661849268,20260826,1.0683477968008521,1.134609720706446
CO,8,pls,10,0.0588818442499116,0.0520904559006271,0.3249527951025888,0.3094689965739237,0.9351874833494184,-0.0900942903376656,20260826,0.8846607398970067,0.9523506221148926
CO,8,random_forest,10,0.048617904578622,0.0535873214674171,0.2778900709219857,0.3221560019160682,0.9138294643532556,-0.3105359490494859,20260826,1.1022137200660067,1.1592929565537073
CO,8,xgboost,10,0.0533142158383381,0.0578786571107682,0.2981028501446366,0.3479933583074694,0.9066794647617554,-0.2757853802597662,20260826,1.0856139624424115,1.1673600508637418
CO,8,pls,20,0.0588818442499116,0.0525127836715165,0.3249527951025888,0.3128840742112989,0.925994725280802,0.1089849222506147,20260826,0.8918332015661234,0.9628600797618012
CO,8,random_forest,20,0.048617904578622,0.0526501423370013,0.2778900709219858,0.314299708699413,0.9037253671401844,-0.2111045824498562,20260826,1.082937300431338,1.131021729767555
CO,8,xgboost,20,0.0533142158383381,0.0582758777575613,0.2981028501446366,0.3480171682076651,0.8896578655931779,-0.122632919950512,20260826,1.0930645202448104,1.1674399222912848
