gas_id,target_batch,model,budget,frozen_nrmse,light_nrmse,slope,d_ref,n_reference,n_test,ratio,delta_nrmse,window_set
NOx,6,random_forest,0,0.0976632736567326,0.0976632736567326,1.1366259719873515,,0,107,1.0,0.0,fit
NOx,6,xgboost,0,0.0989270602247858,0.0989270602247858,1.0668681559156434,,0,107,1.0,0.0,fit
NOx,7,pls,0,0.321197698232573,0.321197698232573,1.826003173447968,,0,107,1.0,0.0,fit
NOx,7,random_forest,0,0.2928973370025678,0.2928973370025678,1.767385823524233,,0,107,1.0,0.0,fit
NOx,7,xgboost,0,0.2960575982009445,0.2960575982009445,1.7391467440424468,,0,107,1.0,0.0,fit
NOx,8,pls,0,0.3499082047556124,0.3499082047556124,1.772068594564202,,0,105,1.0,0.0,fit
NOx,8,random_forest,0,0.3212485860048769,0.3212485860048769,1.6146453207182512,,0,105,1.0,0.0,fit
NOx,8,xgboost,0,0.331020801748334,0.331020801748334,1.5656697529479917,,0,105,1.0,0.0,fit
NOx,9,pls,0,0.4198521114588329,0.4198521114588329,2.1081861930504604,,0,125,1.0,0.0,fit
NOx,9,random_forest,0,0.3948734600821519,0.3948734600821519,2.2528220652235644,,0,125,1.0,0.0,fit
NOx,9,xgboost,0,0.3949161559939855,0.3949161559939855,2.275774457469909,,0,125,1.0,0.0,fit
NOx,10,pls,0,0.4585298388959065,0.4585298388959065,1.9284994508483544,,0,110,1.0,0.0,held
NOx,10,random_forest,0,0.4230235481031335,0.4230235481031335,2.206353351975146,,0,110,1.0,0.0,held
NOx,10,xgboost,0,0.4262639961364408,0.4262639961364408,2.0319820768553885,,0,110,1.0,0.0,held
NOx,11,pls,0,0.3946415121166926,0.3946415121166926,2.0058152085118874,,0,142,1.0,0.0,held
NOx,11,random_forest,0,0.3584895278671328,0.3584895278671328,2.23002585658095,,0,142,1.0,0.0,held
NOx,11,xgboost,0,0.3562231676292494,0.3562231676292494,2.046518846059445,,0,142,1.0,0.0,held
NOx,12,pls,0,0.4148734594331006,0.4148734594331006,1.8010489704691843,,0,159,1.0,0.0,held
NOx,12,random_forest,0,0.3796635416854557,0.3796635416854557,2.021589889726621,,0,159,1.0,0.0,held
NOx,12,xgboost,0,0.3870422533581194,0.3870422533581194,1.8998062463342675,,0,159,1.0,0.0,held
NOx,13,pls,0,0.35562241604763,0.35562241604763,1.9065977675715475,,0,174,1.0,0.0,held
NOx,13,random_forest,0,0.3219926180879939,0.3219926180879939,2.0536338469567896,,0,174,1.0,0.0,held
NOx,13,xgboost,0,0.3319397410356828,0.3319397410356828,1.985880731552383,,0,174,1.0,0.0,held
CO,4,pls,2,0.0583823520264781,0.0886586612474921,0.8277035589377937,1.0477954731930286,2,201,1.5185866648072486,-0.030276309221013993,fit
CO,4,random_forest,2,0.0546879344259304,0.0614334445950665,0.8811041869379374,-0.3852291291973809,2,201,1.1233454918337105,-0.006745510169136097,fit
CO,4,xgboost,2,0.0568490606368537,0.0802526019633481,0.8553991516777237,0.0614173980451374,2,201,1.411678593530225,-0.0234035413264944,fit
CO,5,pls,2,0.0822174721446088,0.146945680971035,0.7591427155416426,1.3150810014690797,2,139,1.7872804543610696,-0.0647282088264262,fit
CO,5,random_forest,2,0.0733907988273597,0.110407526255581,0.8110868218209902,0.2175169369493922,2,139,1.5043783147162266,-0.037016727428221305,fit
CO,5,xgboost,2,0.0690107902755066,0.1105143403353812,0.7860000154458996,0.549722025743645,2,139,1.6014066770454747,-0.04150355005987459,fit
CO,6,pls,2,0.0615553715562399,0.0641607720107493,1.0533360733277597,0.1505389185491824,2,134,1.0423261266830137,-0.002605400454509396,fit
CO,6,random_forest,2,0.0476180777189675,0.0479327659617025,1.0642029928500123,-0.0548814054348762,2,134,1.0066085877004995,-0.00031468824273499924,fit
CO,6,xgboost,2,0.0528854217363982,0.0537574367061921,1.1061849409083355,0.0434922284013214,2,134,1.0164887589275615,-0.0008720149697938953,fit
